division,division_name,industry_group,industry_group_name,sic_code,industry_name
D,Manufacturing,20,Food And Kindred Products,2083,Malt
D,Manufacturing,20,Food And Kindred Products,2084,"Wines, Brandy, and Brandy Spirits"
D,Manufacturing,20,Food And Kindred Products,2085,Distilled and Blended Liquors
D,Manufacturing,20,Food And Kindred Products,2086,Bottled and Canned Soft Drinks and Carbonated Waters
D,Manufacturing,20,Food And Kindred Products,2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified"
D,Manufacturing,20,Food And Kindred Products,2091,Canned and Cured Fish and Seafoods
D,Manufacturing,20,Food And Kindred Products,2092,Prepared Fresh or Frozen Fish and Seafoods
D,Manufacturing,20,Food And Kindred Products,2095,Roasted Coffee
D,Manufacturing,20,Food And Kindred Products,2096,"Potato Chips, Corn Chips, and Similar Snacks"
D,Manufacturing,20,Food And Kindred Products,2097,Manufactured Ice
D,Manufacturing,20,Food And Kindred Products,2098,"Macaroni, Spaghetti, Vermicelli, and Noodles"
D,Manufacturing,20,Food And Kindred Products,2099,"Food Preparations, Not Elsewhere Classified"
D,Manufacturing,21,Tobacco Products,2111,Cigarettes
D,Manufacturing,21,Tobacco Products,2121,Cigars
D,Manufacturing,21,Tobacco Products,2131,Chewing and Smoking Tobacco and Snuff
D,Manufacturing,21,Tobacco Products,2141,Tobacco Stemming and Redrying
D,Manufacturing,22,Textile Mill Products,2211,"Broadwoven Fabric Mills, Cotton"
D,Manufacturing,22,Textile Mill Products,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk"
D,Manufacturing,22,Textile Mill Products,2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)"
D,Manufacturing,22,Textile Mill Products,2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber"
D,Manufacturing,22,Textile Mill Products,2251,"Women\'s Full-Length and Knee-Length Hosiery, Except Socks"
D,Manufacturing,22,Textile Mill Products,2252,"Hosiery, Not Elsewhere Classified"
D,Manufacturing,22,Textile Mill Products,2253,Knit Outerwear Mills
D,Manufacturing,22,Textile Mill Products,2254,Knit Underwear and Nightwear Mills
D,Manufacturing,22,Textile Mill Products,2257,Weft Knit Fabric Mills
D,Manufacturing,22,Textile Mill Products,2258,Lace and Warp Knit Fabric Mills
D,Manufacturing,22,Textile Mill Products,2259,"Knitting Mills, Not Elsewhere Classified"
D,Manufacturing,22,Textile Mill Products,2261,Finishers of Broadwoven Fabrics of Cotton
D,Manufacturing,22,Textile Mill Products,2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk
D,Manufacturing,22,Textile Mill Products,2269,"Finishers of Textiles, Not elsewhere Classified"
D,Manufacturing,22,Textile Mill Products,2273,Carpets and Rugs
D,Manufacturing,22,Textile Mill Products,2281,Yarn Spinning Mills
D,Manufacturing,22,Textile Mill Products,2282,"Yarn Texturizing, Throwing, Twisting, and Winding Mills"
D,Manufacturing,22,Textile Mill Products,2284,Thread Mills
D,Manufacturing,22,Textile Mill Products,2295,"Coated Fabrics, Not Rubberized"
D,Manufacturing,22,Textile Mill Products,2296,Tire Cord and Fabrics
D,Manufacturing,22,Textile Mill Products,2297,Non-woven Fabrics
D,Manufacturing,22,Textile Mill Products,2298,Cordage and Twine
D,Manufacturing,22,Textile Mill Products,2299,"Textile goods, Not Elsewhere Classified"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2311,"Men\'s and Boys\' Suits, Coats, and Overcoats"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2321,"Men\'s and Boys\' Shirts, Except Work Shirts"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2322,Men\'s and Boys\' Underwear and Nightwear
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2323,Men\'s and Boys\' Neckwear
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2325,Men\'s and Boys\' Separate Trousers and Slacks
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2326,Men\'s and Boys\' Work Clothing
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2329,"Men\'s and Boys\' Clothing, Not Elsewhere Classified"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2331,"Women\'s, Misses\', and Juniors\' Blouses and Shirts"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2335,"Women\'s, Misses\', and Juniors\' Dresses"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2337,"Women\'s, Misses\', and Juniors\' Suits, Skirts, and Coats"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2339,"Women\'s, Misses\', and Juniors\' Outerwear, Not Elsewhere Classified"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2341,"Women\'s, Misses\', Children\'s, and Infants\' Underwear and Nightwear"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2342,"Brassieres, Girdles, and Allied Garments"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2353,"Hats, Caps, and Millinery"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2361,"Girls\', Children\'s, and Infants\' Dresses, Blouses, and Shirts"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2369,"Girls\', Children\'s, and Infants\' Outerwear, Not Elsewhere Classified"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2371,Fur Goods
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2381,"Dress and Work Gloves, Except Knit and All-Leather"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2384,Robes and Dressing Gowns
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2385,Waterproof Outerwear
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2386,Leather and Sheep-Lined Clothing
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2387,Apparel belts
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2389,"Apparel and Accessories, Not Elsewhere Classified"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2391,Curtains and Draperies
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2392,"House furnishing, Except Curtains and Draperies"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2393,Textile Bags
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2394,Canvas and Related Products
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2395,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2396,"Automotive Trimmings, Apparel Findings, and Related Products"
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2397,Schiffli Machine Embroideries
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2399,"Fabricated Textile Products, Not Elsewhere Classified"
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2411,Logging
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2421,"Sawmills and Planing Mills, General"
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2426,Hardwood Dimension and Flooring Mills
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2429,"Special Product Sawmills, Not Elsewhere Classified"
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2431,Millwork
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2434,Wood Kitchen Cabinets
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2435,Hardwood Veneer and Plywood
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2436,Softwood Veneer and Plywood
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2439,"Structural Wood Members, Not Elsewhere Classified"
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2441,Nailed and Lock Corner Wood Boxes and Shook
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2448,Wood Pallets and Skids
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2449,"Wood Containers, Not Elsewhere Classified"
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2451,Mobile Homes
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2452,Prefabricated Wood Buildings and Components
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2491,Wood Preserving
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2493,Reconstituted Wood Products
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2499,"Wood Products, Not Elsewhere Classified"
D,Manufacturing,25,Furniture And Fixtures,2511,"Wood Household Furniture, Except Upholstered"
D,Manufacturing,25,Furniture And Fixtures,2512,"Wood Household Furniture, Upholstered"
D,Manufacturing,25,Furniture And Fixtures,2514,Metal Household Furniture
D,Manufacturing,25,Furniture And Fixtures,2515,"Mattresses, Foundations, and Convertible Beds"
D,Manufacturing,25,Furniture And Fixtures,2517,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets"
D,Manufacturing,25,Furniture And Fixtures,2519,"Household Furniture, Not Elsewhere Classified"
D,Manufacturing,25,Furniture And Fixtures,2521,Wood Office Furniture
D,Manufacturing,25,Furniture And Fixtures,2522,"Office Furniture, Except Wood"
D,Manufacturing,25,Furniture And Fixtures,2531,Public Building and Related Furniture
D,Manufacturing,25,Furniture And Fixtures,2541,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers"
D,Manufacturing,25,Furniture And Fixtures,2542,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood"
D,Manufacturing,25,Furniture And Fixtures,2591,Drapery Hardware and Window Blinds and Shades
D,Manufacturing,25,Furniture And Fixtures,2599,"Furniture and Fixtures, Not Elsewhere Classified"
D,Manufacturing,26,Paper And Allied Products,2611,Pulp Mills
D,Manufacturing,26,Paper And Allied Products,2621,Paper Mills
D,Manufacturing,26,Paper And Allied Products,2631,Paperboard Mills
D,Manufacturing,26,Paper And Allied Products,2652,Setup Paperboard Boxes
D,Manufacturing,26,Paper And Allied Products,2653,Corrugated and Solid Fiber Boxes
D,Manufacturing,26,Paper And Allied Products,2655,"Fiber Cans, Tubes, Drums, and Similar Products"
D,Manufacturing,26,Paper And Allied Products,2656,"Sanitary Food Containers, Except Folding"
D,Manufacturing,26,Paper And Allied Products,2657,"Folding Paperboard Boxes, Including Sanitary"
D,Manufacturing,26,Paper And Allied Products,2671,"Packaging Paper and Plastics Film, Coated and Laminated"
D,Manufacturing,26,Paper And Allied Products,2672,"Coated and Laminated Paper, Not Elsewhere Classified"
D,Manufacturing,26,Paper And Allied Products,2673,"Plastics, Foil, and Coated Paper Bags"
D,Manufacturing,26,Paper And Allied Products,2674,Uncoated Paper and Multiwall Bags
D,Manufacturing,26,Paper And Allied Products,2675,Die-Cut Paper and Paperboard and Cardboard
D,Manufacturing,26,Paper And Allied Products,2676,Sanitary Paper Products
D,Manufacturing,26,Paper And Allied Products,2677,Envelopes
D,Manufacturing,26,Paper And Allied Products,2678,"Stationery, Tablets, and Related Products"
D,Manufacturing,26,Paper And Allied Products,2679,"Converted Paper and Paperboard Products, Not Elsewhere Classified"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2711,"Newspapers: Publishing, or Publishing and Printing"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2721,"Periodicals: Publishing, or Publishing and Printing"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2731,"Books: Publishing, or Publishing and Printing"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2732,Book Printing
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2741,Miscellaneous Publishing
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2752,"Commercial Printing, Lithographic"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2754,"Commercial Printing, Gravure"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2759,"Commercial Printing, Not Elsewhere Classified"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2761,Manifold Business Forms
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2771,Greeting Cards
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2782,"Blankbooks, Looseleaf Binders and Devices"
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2789,Bookbinding and Related Work
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2791,Typesetting
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",2796,Platemaking and Related Services
D,Manufacturing,28,Chemicals And Allied Products,2812,Alkalies and Chlorine
D,Manufacturing,28,Chemicals And Allied Products,2813,Industrial Gases
D,Manufacturing,28,Chemicals And Allied Products,2816,Inorganic Pigments
D,Manufacturing,28,Chemicals And Allied Products,2819,"Industrial Inorganic Chemicals, Not Elsewhere Classified"
D,Manufacturing,28,Chemicals And Allied Products,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers"
D,Manufacturing,28,Chemicals And Allied Products,2822,Synthetic Rubber (Vulcanizable Elastomers)
D,Manufacturing,28,Chemicals And Allied Products,2823,Cellulosic Manmade Fibers
D,Manufacturing,28,Chemicals And Allied Products,2824,"Manmade Organic Fibers, Except Cellulosic"
D,Manufacturing,28,Chemicals And Allied Products,2833,Medicinal Chemicals and Botanical Products
D,Manufacturing,28,Chemicals And Allied Products,2834,Pharmaceutical Preparations
